Intron	Mature	Premature
YAL001C;I1	288	7
YAL003W;I1	1706	66
YAL030W;I1	597	18
YBL018C;I1	171	15
YBL026W;I1	378	9
YBL027W;I1	26488	128
YBL040C;I1	1818	87
YBL050W;I1	47	2
YBL059C-A;I1	206	10
YBL059W;I1	95	16
YBL072C;I1	2748	207
YBL087C;I1	2084	16
YBL091C-A;I1	143	59
YBL092W;I1	42798	72
YBL111C;I1	0	0
YBR048W;I1	15012	21
YBR062C;I1	400	27
YBR078W;I1	725	62
YBR082C;I1	3126	13
YBR084C-A;I1	5506	37
YBR089C-A;I1	0	0
YBR090C;I1	0	0
YBR111W-A;I1	162	44
YBR111W-A;I2	79	10
YBR119W;I1	421	24
YBR181C;I1	7308	95
YBR186W;I1	0	1
YBR189W;I1	17363	124
YBR191W;I1	35934	24
YBR215W;I1	121	13
YBR219C;I1	0	0
YBR230C;I1	350	19
YBR255C-A;I1	191	34
YCL002C;I1	293	143
YCL005W-A;I1	2494	33
YCL005W-A;I2	2746	17
YCL012C;I1	64	2
YCR028C-A;I1	444	3
YCR031C;I1	16631	36
YCR097W;I1	1636	37
YCR097W;I2	3	128
YDL012C;I1	965	36
YDL029W;I1	1699	7
YDL061C;I1	12558	111
YDL064W;I1	831	15
YDL075W;I1	5804	1
YDL079C;I1	12	0
YDL082W;I1	937	19
YDL083C;I1	41950	52
YDL108W;I1	14	113
YDL115C;I1	226	75
YDL125C;I1	3852	27
YDL130W;I1	7846	40
YDL136W;I1	31202	49
YDL137W;I1	69	34
YDL189W;I1	571	76
YDL191W;I1	12356	38
YDL219W;I1	433	12
YDR005C;I1	0	0
YDR025W;I1	30311	12
YDR059C;I1	42	0
YDR064W;I1	40050	42
YDR092W;I1	554	16
YDR099W;I1	2513	0
YDR129C;I1	1610	8
YDR139C;I1	562	23
YDR305C;I1	56	6
YDR318W;I1	112	10
YDR367W;I1	520	4
YDR381C-A;I1	0	16
YDR381W;I1	419	84
YDR397C;I1	1819	109
YDR424C;I1	0	0
YDR424C;I2	34	64
YDR447C;I1	3431	155
YDR450W;I1	31155	31
YDR471W;I1	14546	14
YDR500C;I1	19343	81
YDR535C;I1	0	1
YEL003W;I1	1453	2007
YEL012W;I1	112	18
YEL076C-A;I1	0	0
YER003C;I1	3064	13
YER007C-A;I1	2117	49
YER014C-A;I1	0	4
YER044C-A;I1	0	0
YER056C-A;I1	20	58
YER074W-A;I1	469	24
YER074W-A;I2	1493	12
YER074W;I1	21285	22
YER093C-A;I1	72	30
YER102W;I1	8028	68
YER117W;I1	16718	63
YER131W;I1	14413	63
YER133W;I1	985	51
YER179W;I1	6	0
YFL031W;I1	0	1381
YFL034C-A;I1	1295	123
YFL034C-B;I1	519	14
YFL039C;I1	3144	36
YFR024C-A;I1	1186	40
YFR031C-A;I1	4849	339
YFR032C-A;I1	88432	221
YFR045W;I1	218	23
YGL030W;I1	25650	192
YGL031C;I1	10033	44
YGL033W;I1	0	0
YGL033W;I2	74	6
YGL076C;I1	32020	3
YGL076C;I2	27053	68
YGL087C;I1	11	29
YGL103W;I1	38323	134
YGL137W;I1	885	23
YGL178W;I1	7	187
YGL183C;I1	0	1
YGL187C;I1	733	3
YGL189C;I1	645	125
YGL226C-A;I1	1487	35
YGL232W;I1	183	12
YGL251C;I1	0	0
YGR001C;I1	22	10
YGR001C;I2	133	0
YGR027C;I1	9718	92
YGR029W;I1	554	16
YGR034W;I1	25803	35
YGR118W;I1	120446	54
YGR148C;I1	6509	60
YGR183C;I1	505	24
YGR214W;I1	24130	3
YGR225W;I1	0	0
YGR296W;I1	0	0
YHL001W;I1	3962	19
YHL050C;I1	0	0
YHR001W-A;I1	376	11
YHR010W;I1	8921	12
YHR012W;I1	87	3
YHR016C;I1	52	8
YHR021C;I1	34308	44
YHR039C-A;I1	3135	26
YHR041C;I1	440	104
YHR076W;I1	202	51
YHR077C;I1	335	18
YHR079C-A;I1	0	0
YHR097C;I1	61	3
YHR101C;I1	366	23
YHR123W;I1	709	12
YHR141C;I1	25697	77
YHR199C-A;I1	586	50
YHR203C;I1	47144	61
YHR218W;I1	0	0
YIL004C;I1	1025	21
YIL018W;I1	639	157
YIL052C;I1	145	28
YIL069C;I1	14206	37
YIL073C;I1	0	5
YIL106W;I1	59	16
YIL111W;I1	0	10
YIL123W;I1	343	546
YIL133C;I1	36183	175
YIL148W;I1	4947	56
YIL156W-B;I1	2394	163
YIL177C;I1	0	0
YJL001W;I1	1066	21
YJL024C;I1	153	10
YJL031C;I1	94	20
YJL041W;I1	1203	31
YJL130C;I1	1162	0
YJL136C;I1	24642	23
YJL177W;I1	2149	78
YJL189W;I1	45978	31
YJL191W;I1	5495	30
YJL205C;I1	119	10
YJL225C;I1	0	0
YJR021C;I1	3	9
YJR079W;I1	0	0
YJR094W-A;I1	16561	71
YJR112W-A;I1	0	745
YJR145C;I1	46956	79
YKL002W;I1	431	21
YKL006C-A;I1	2301	138
YKL006W;I1	6774	22
YKL081W;I1	1753	20
YKL150W;I1	34	0
YKL156W;I1	2651	319
YKL157W;I1	117	666
YKL180W;I1	2813	45
YKL186C;I1	8	3419
YKL190W;I1	601	30
YKR004C;I1	55	15
YKR005C;I1	5	42
YKR057W;I1	13719	18
YKR094C;I1	3595	48
YKR095W-A;I1	1562	77
YLL050C;I1	10926	24
YLL066C;I1	0	0
YLL067C;I1	0	0
YLR048W;I1	81504	22
YLR054C;I1	0	0
YLR061W;I1	58617	43
YLR078C;I1	297	54
YLR093C;I1	560	29
YLR128W;I1	37	5
YLR185W;I1	22249	82
YLR199C;I1	1027	33
YLR202C;I1	0	12
YLR211C;I1	50	16
YLR275W;I1	159	14
YLR287C-A;I1	1882	61
YLR306W;I1	142	82
YLR316C;I1	41	11
YLR316C;I2	164	17
YLR329W;I1	0	2
YLR333C;I1	5698	60
YLR344W;I1	23082	17
YLR367W;I1	3988	24
YLR367W;I2	6674	57
YLR388W;I1	20484	14
YLR406C;I1	7169	31
YLR426W;I1	397	150
YLR445W;I1	1	0
YLR448W;I1	7831	21
YLR464W;I1	0	0
YML017W;I1	1	1046
YML024W;I1	9471	44
YML025C;I1	485	26
YML026C;I1	31081	13
YML034W;I1	26	8
YML036W;I1	84	8
YML056C;I1	307	56
YML067C;I1	793	27
YML073C;I1	6850	7
YML085C;I1	687	9
YML094W;I1	264	15
YML124C;I1	3389	12
YML133C;I1	0	0
YMR033W;I1	2036	50
YMR079W;I1	3564	34
YMR116C;I1	2408	31
YMR125W;I1	1554	8
YMR133W;I1	0	0
YMR142C;I1	2643	74
YMR143W;I1	13606	63
YMR194C-B;I1	43	57
YMR194W;I1	10907	27
YMR201C;I1	138	19
YMR225C;I1	322	5
YMR230W;I1	12084	26
YMR242C;I1	15697	44
YMR292W;I1	1	5
YNL004W;I1	1657	24
YNL012W;I1	0	0
YNL038W;I1	108	38
YNL044W;I1	919	30
YNL050C;I1	0	18
YNL066W;I1	852	25
YNL069C;I1	7332	8
YNL096C;I1	3275	17
YNL112W;I1	703	60
YNL130C;I1	364	5
YNL138W-A;I1	176	35
YNL147W;I1	989	14
YNL162W;I1	2775	81
YNL246W;I1	169	13
YNL265C;I1	265	19
YNL301C;I1	2335	46
YNL302C;I1	54971	36
YNL312W;I1	859	24
YNL339C;I1	0	0
YNR053C;I1	458	226
YOL047C;I1	1	0
YOL048C;I1	3	9
YOL120C;I1	9668	65
YOL121C;I1	25386	88
YOL127W;I1	17928	157
YOR096W;I1	12592	20
YOR122C;I1	12663	82
YOR182C;I1	3995	9
YOR234C;I1	5794	40
YOR293W;I1	47141	58
YOR312C;I1	6260	31
YOR318C;I1	0	15
YPL031C;I1	1061	54
YPL075W;I1	42	217
YPL079W;I1	16310	30
YPL081W;I1	5764	39
YPL090C;I1	54507	31
YPL109C;I1	22	2
YPL129W;I1	1026	79
YPL143W;I1	6242	19
YPL175W;I1	15	36
YPL198W;I1	3449	14
YPL198W;I2	2632	19
YPL218W;I1	6	24
YPL230W;I1	11	5
YPL241C;I1	28	7
YPL249C-A;I1	63355	168
YPL283C;I1	0	0
YPR010C-A;I1	459	13
YPR028W;I1	3032	10
YPR043W;I1	94256	98
YPR063C;I1	638	10
YPR098C;I1	58	0
YPR132W;I1	43728	12
YPR153W;I1	15	17
YPR170W-B;I1	1657	12
YPR187W;I1	1607	67
YPR202W;I1	0	0
