Intron	Mature	Premature
YAL001C;I1	272	9
YAL003W;I1	1543	62
YAL030W;I1	514	11
YBL018C;I1	157	6
YBL026W;I1	375	6
YBL027W;I1	23706	89
YBL040C;I1	1660	91
YBL050W;I1	36	2
YBL059C-A;I1	170	13
YBL059W;I1	74	16
YBL072C;I1	2298	182
YBL087C;I1	1458	8
YBL091C-A;I1	114	47
YBL092W;I1	34178	52
YBL111C;I1	0	0
YBR048W;I1	14998	13
YBR062C;I1	372	23
YBR078W;I1	434	58
YBR082C;I1	2720	20
YBR084C-A;I1	5192	28
YBR089C-A;I1	0	0
YBR090C;I1	0	0
YBR111W-A;I1	147	47
YBR111W-A;I2	45	13
YBR119W;I1	320	20
YBR181C;I1	7287	52
YBR186W;I1	0	2
YBR189W;I1	14821	87
YBR191W;I1	30195	13
YBR215W;I1	121	7
YBR219C;I1	0	0
YBR230C;I1	210	17
YBR255C-A;I1	134	28
YCL002C;I1	263	150
YCL005W-A;I1	2208	36
YCL005W-A;I2	2361	9
YCL012C;I1	59	1
YCR028C-A;I1	346	0
YCR031C;I1	15869	29
YCR097W;I1	1663	41
YCR097W;I2	3	108
YDL012C;I1	1	17
YDL029W;I1	1261	7
YDL061C;I1	12948	62
YDL064W;I1	1004	17
YDL075W;I1	4693	2
YDL079C;I1	10	2
YDL082W;I1	848	11
YDL083C;I1	38880	42
YDL108W;I1	14	120
YDL115C;I1	183	69
YDL125C;I1	3096	16
YDL130W;I1	7378	35
YDL136W;I1	27052	29
YDL137W;I1	68	48
YDL189W;I1	498	56
YDL191W;I1	10054	27
YDL219W;I1	445	11
YDR005C;I1	0	0
YDR025W;I1	32977	10
YDR059C;I1	39	0
YDR064W;I1	31380	39
YDR092W;I1	455	7
YDR099W;I1	2344	0
YDR129C;I1	1473	6
YDR139C;I1	413	14
YDR305C;I1	47	5
YDR318W;I1	88	6
YDR367W;I1	490	3
YDR381C-A;I1	1	20
YDR381W;I1	266	64
YDR397C;I1	1483	96
YDR424C;I1	1	0
YDR424C;I2	62	52
YDR447C;I1	3648	115
YDR450W;I1	29645	27
YDR471W;I1	17739	14
YDR500C;I1	16654	53
YDR535C;I1	0	5
YEL003W;I1	1701	909
YEL012W;I1	112	10
YEL076C-A;I1	0	0
YER003C;I1	2929	9
YER007C-A;I1	1849	32
YER014C-A;I1	0	4
YER044C-A;I1	0	0
YER056C-A;I1	29	30
YER074W-A;I1	482	14
YER074W-A;I2	960	8
YER074W;I1	18963	9
YER093C-A;I1	73	19
YER102W;I1	9118	45
YER117W;I1	12051	65
YER131W;I1	10729	35
YER133W;I1	583	42
YER179W;I1	4	0
YFL031W;I1	0	1076
YFL034C-A;I1	1340	82
YFL034C-B;I1	455	10
YFL039C;I1	2949	30
YFR024C-A;I1	1087	35
YFR031C-A;I1	5237	187
YFR032C-A;I1	83608	222
YFR045W;I1	206	30
YGL030W;I1	22962	112
YGL031C;I1	9312	27
YGL033W;I1	0	0
YGL033W;I2	62	4
YGL076C;I1	29464	2
YGL076C;I2	24096	43
YGL087C;I1	1	30
YGL103W;I1	28081	112
YGL137W;I1	557	12
YGL178W;I1	6	115
YGL183C;I1	0	0
YGL187C;I1	598	2
YGL189C;I1	630	62
YGL226C-A;I1	1449	20
YGL232W;I1	191	8
YGL251C;I1	0	0
YGR001C;I1	18	13
YGR001C;I2	94	2
YGR027C;I1	10394	34
YGR029W;I1	542	16
YGR034W;I1	20976	40
YGR118W;I1	104473	35
YGR148C;I1	6973	43
YGR183C;I1	464	14
YGR214W;I1	23744	3
YGR225W;I1	0	1
YGR296W;I1	0	0
YHL001W;I1	3251	7
YHL050C;I1	0	0
YHR001W-A;I1	365	19
YHR010W;I1	10452	18
YHR012W;I1	85	1
YHR016C;I1	46	5
YHR021C;I1	31367	33
YHR039C-A;I1	3477	23
YHR041C;I1	455	71
YHR076W;I1	223	29
YHR077C;I1	292	19
YHR079C-A;I1	1	0
YHR097C;I1	49	3
YHR101C;I1	299	15
YHR123W;I1	628	6
YHR141C;I1	27063	51
YHR199C-A;I1	565	33
YHR203C;I1	40772	50
YHR218W;I1	0	0
YIL004C;I1	688	22
YIL018W;I1	662	115
YIL052C;I1	121	16
YIL069C;I1	12517	52
YIL073C;I1	0	5
YIL106W;I1	62	17
YIL111W;I1	0	6
YIL123W;I1	237	556
YIL133C;I1	43115	173
YIL148W;I1	4737	33
YIL156W-B;I1	2186	138
YIL177C;I1	0	0
YJL001W;I1	1019	19
YJL024C;I1	132	8
YJL031C;I1	73	18
YJL041W;I1	970	18
YJL130C;I1	711	0
YJL136C;I1	24900	23
YJL177W;I1	1645	50
YJL189W;I1	39201	25
YJL191W;I1	5196	19
YJL205C;I1	117	18
YJL225C;I1	0	0
YJR021C;I1	1	12
YJR079W;I1	0	2
YJR094W-A;I1	13013	44
YJR112W-A;I1	0	617
YJR145C;I1	40696	52
YKL002W;I1	440	18
YKL006C-A;I1	1883	65
YKL006W;I1	6267	13
YKL081W;I1	1273	19
YKL150W;I1	36	0
YKL156W;I1	2381	296
YKL157W;I1	55	578
YKL180W;I1	2296	36
YKL186C;I1	10	2869
YKL190W;I1	868	31
YKR004C;I1	44	5
YKR005C;I1	3	30
YKR057W;I1	10918	16
YKR094C;I1	4068	44
YKR095W-A;I1	1195	69
YLL050C;I1	8505	18
YLL066C;I1	0	0
YLL067C;I1	0	0
YLR048W;I1	71844	10
YLR054C;I1	0	0
YLR061W;I1	45792	26
YLR078C;I1	211	36
YLR093C;I1	590	18
YLR128W;I1	29	7
YLR185W;I1	16755	43
YLR199C;I1	1024	28
YLR202C;I1	0	2
YLR211C;I1	37	12
YLR275W;I1	128	13
YLR287C-A;I1	1598	44
YLR306W;I1	131	54
YLR316C;I1	34	3
YLR316C;I2	126	11
YLR329W;I1	0	3
YLR333C;I1	4735	46
YLR344W;I1	17361	5
YLR367W;I1	3087	21
YLR367W;I2	4658	38
YLR388W;I1	20325	18
YLR406C;I1	6665	18
YLR426W;I1	456	128
YLR445W;I1	0	0
YLR448W;I1	6978	15
YLR464W;I1	0	0
YML017W;I1	0	936
YML024W;I1	6707	33
YML025C;I1	424	13
YML026C;I1	39484	7
YML034W;I1	17	3
YML036W;I1	74	12
YML056C;I1	248	35
YML067C;I1	743	30
YML073C;I1	10207	12
YML085C;I1	551	8
YML094W;I1	208	14
YML124C;I1	2641	7
YML133C;I1	0	0
YMR033W;I1	1741	40
YMR079W;I1	2937	37
YMR116C;I1	1834	19
YMR125W;I1	1769	7
YMR133W;I1	0	0
YMR142C;I1	2711	41
YMR143W;I1	12221	59
YMR194C-B;I1	56	52
YMR194W;I1	11056	14
YMR201C;I1	124	13
YMR225C;I1	261	9
YMR230W;I1	13119	17
YMR242C;I1	16577	30
YMR292W;I1	0	13
YNL004W;I1	1365	8
YNL012W;I1	0	0
YNL038W;I1	61	17
YNL044W;I1	872	21
YNL050C;I1	0	25
YNL066W;I1	593	20
YNL069C;I1	6382	5
YNL096C;I1	2349	6
YNL112W;I1	453	70
YNL130C;I1	343	5
YNL138W-A;I1	181	25
YNL147W;I1	791	10
YNL162W;I1	2890	59
YNL246W;I1	160	23
YNL265C;I1	213	15
YNL301C;I1	2775	32
YNL302C;I1	47636	22
YNL312W;I1	618	20
YNL339C;I1	0	0
YNR053C;I1	326	231
YOL047C;I1	1	0
YOL048C;I1	1	7
YOL120C;I1	8653	63
YOL121C;I1	25880	48
YOL127W;I1	13750	97
YOR096W;I1	10461	14
YOR122C;I1	9946	53
YOR182C;I1	3717	13
YOR234C;I1	6245	29
YOR293W;I1	41404	32
YOR312C;I1	6337	32
YOR318C;I1	0	11
YPL031C;I1	977	55
YPL075W;I1	39	149
YPL079W;I1	15573	26
YPL081W;I1	4233	18
YPL090C;I1	49915	10
YPL109C;I1	21	4
YPL129W;I1	938	72
YPL143W;I1	6860	12
YPL175W;I1	10	22
YPL198W;I1	2286	14
YPL198W;I2	1995	8
YPL218W;I1	5	18
YPL230W;I1	6	2
YPL241C;I1	24	5
YPL249C-A;I1	59528	134
YPL283C;I1	0	0
YPR010C-A;I1	446	12
YPR028W;I1	2733	9
YPR043W;I1	69024	63
YPR063C;I1	623	20
YPR098C;I1	50	0
YPR132W;I1	37974	4
YPR153W;I1	30	10
YPR170W-B;I1	1327	13
YPR187W;I1	1679	69
YPR202W;I1	0	0
