Intron	Mature	Premature
YAL001C;I1	4	0
YAL003W;I1	85	979
YAL030W;I1	80	5
YBL018C;I1	5	1
YBL026W;I1	49	6
YBL027W;I1	0	1
YBL040C;I1	20	4
YBL050W;I1	53	3
YBL059C-A;I1	7	0
YBL059W;I1	12	3
YBL072C;I1	2	1
YBL087C;I1	19	4
YBL091C-A;I1	1	10
YBL092W;I1	21	2
YBL111C;I1	0	0
YBR048W;I1	48	1
YBR062C;I1	0	7
YBR078W;I1	337	3
YBR082C;I1	450	2
YBR084C-A;I1	0	6
YBR089C-A;I1	0	0
YBR090C;I1	0	0
YBR111W-A;I1	19	7
YBR111W-A;I2	64	4
YBR119W;I1	2	0
YBR181C;I1	9	1
YBR186W;I1	2	4
YBR189W;I1	6	0
YBR191W;I1	8	1
YBR215W;I1	1	7
YBR219C;I1	0	12
YBR230C;I1	16	5
YBR255C-A;I1	8	1
YCL002C;I1	1	5
YCL005W-A;I1	3	1
YCL005W-A;I2	70	0
YCL012C;I1	24	0
YCR028C-A;I1	44	23
YCR031C;I1	18	2
YCR097W;I1	28	1
YCR097W;I2	14	21
YDL012C;I1	13	4
YDL029W;I1	13	0
YDL061C;I1	2	2
YDL064W;I1	2	0
YDL075W;I1	99	1
YDL079C;I1	6	8
YDL082W;I1	0	1
YDL083C;I1	2	1
YDL108W;I1	1	2
YDL115C;I1	13	9
YDL125C;I1	121	49
YDL130W;I1	351	6
YDL136W;I1	2	5
YDL137W;I1	36	2
YDL189W;I1	5	0
YDL191W;I1	1	2
YDL219W;I1	6	0
YDR005C;I1	19	2
YDR025W;I1	17	0
YDR059C;I1	22	3
YDR064W;I1	30	12
YDR092W;I1	13	5
YDR099W;I1	47	8
YDR129C;I1	33	0
YDR139C;I1	78	5
YDR305C;I1	9	6
YDR318W;I1	2	2
YDR367W;I1	7	1
YDR381C-A;I1	0	10
YDR381W;I1	61	63
YDR397C;I1	13	15
YDR424C;I1	2	2
YDR424C;I2	14	3
YDR447C;I1	1	5
YDR450W;I1	74	2
YDR471W;I1	10	5
YDR500C;I1	3	7
YDR535C;I1	0	3
YEL003W;I1	4	23
YEL012W;I1	24	2
YEL076C-A;I1	0	0
YER003C;I1	10	0
YER007C-A;I1	10	2
YER014C-A;I1	0	30
YER044C-A;I1	0	2
YER056C-A;I1	30	7
YER074W-A;I1	62	2
YER074W-A;I2	76	3
YER074W;I1	10	5
YER093C-A;I1	6	0
YER102W;I1	2	4
YER117W;I1	47	1
YER131W;I1	0	2
YER133W;I1	140	7
YER179W;I1	1	1
YFL031W;I1	0	593
YFL034C-A;I1	1	31
YFL034C-B;I1	1	1
YFL039C;I1	650	2
YFR024C-A;I1	34	2
YFR031C-A;I1	4	4
YFR032C-A;I1	14	5
YFR045W;I1	1	3
YGL030W;I1	55	12
YGL031C;I1	2	1
YGL033W;I1	0	0
YGL033W;I2	0	0
YGL076C;I1	8	0
YGL076C;I2	105	2
YGL087C;I1	6	0
YGL103W;I1	79	32
YGL137W;I1	2	2
YGL178W;I1	6	9
YGL183C;I1	0	4
YGL187C;I1	32	1
YGL189C;I1	3	4
YGL226C-A;I1	12	1
YGL232W;I1	5	4
YGL251C;I1	0	0
YGR001C;I1	1	0
YGR001C;I2	30	2
YGR027C;I1	14	4
YGR029W;I1	15	10
YGR034W;I1	14	6
YGR118W;I1	110	1
YGR148C;I1	2	3
YGR183C;I1	12	3
YGR214W;I1	38	4
YGR225W;I1	0	9
YGR296W;I1	0	1
YHL001W;I1	118	6
YHL050C;I1	0	2
YHR001W-A;I1	46	5
YHR010W;I1	26	2
YHR012W;I1	4	0
YHR016C;I1	27	1
YHR021C;I1	17	4
YHR039C-A;I1	1	11
YHR041C;I1	0	4
YHR076W;I1	13	8
YHR077C;I1	0	0
YHR079C-A;I1	0	2
YHR097C;I1	60	2
YHR101C;I1	22	2
YHR123W;I1	11	1
YHR141C;I1	0	11
YHR199C-A;I1	8	1
YHR203C;I1	12	2
YHR218W;I1	0	0
YIL004C;I1	0	2
YIL018W;I1	1	20
YIL052C;I1	50	0
YIL069C;I1	6	5
YIL073C;I1	0	2
YIL106W;I1	4	2
YIL111W;I1	0	8
YIL123W;I1	25	7
YIL133C;I1	14	5
YIL148W;I1	1	1
YIL156W-B;I1	1	4
YIL177C;I1	0	0
YJL001W;I1	102	11
YJL024C;I1	1	0
YJL031C;I1	6	0
YJL041W;I1	2	0
YJL130C;I1	1	5
YJL136C;I1	48	0
YJL177W;I1	49	3
YJL189W;I1	27	4
YJL191W;I1	6	10
YJL205C;I1	8	12
YJL225C;I1	0	0
YJR021C;I1	4	28
YJR079W;I1	0	61
YJR094W-A;I1	1	4
YJR112W-A;I1	0	13
YJR145C;I1	7	0
YKL002W;I1	14	2
