Intron	Mature	Premature
YAL001C;I1	2	0
YAL003W;I1	95	1015
YAL030W;I1	70	3
YBL018C;I1	7	0
YBL026W;I1	34	5
YBL027W;I1	2	2
YBL040C;I1	13	1
YBL050W;I1	53	3
YBL059C-A;I1	7	0
YBL059W;I1	9	4
YBL072C;I1	3	1
YBL087C;I1	23	1
YBL091C-A;I1	0	7
YBL092W;I1	17	0
YBL111C;I1	0	0
YBR048W;I1	42	6
YBR062C;I1	0	4
YBR078W;I1	364	6
YBR082C;I1	471	3
YBR084C-A;I1	0	8
YBR089C-A;I1	0	0
YBR090C;I1	0	0
YBR111W-A;I1	26	14
YBR111W-A;I2	62	1
YBR119W;I1	2	1
YBR181C;I1	4	1
YBR186W;I1	1	1
YBR189W;I1	10	3
YBR191W;I1	4	1
YBR215W;I1	0	2
YBR219C;I1	0	12
YBR230C;I1	16	4
YBR255C-A;I1	6	5
YCL002C;I1	2	4
YCL005W-A;I1	4	1
YCL005W-A;I2	75	1
YCL012C;I1	17	1
YCR028C-A;I1	57	38
YCR031C;I1	13	2
YCR097W;I1	35	2
YCR097W;I2	13	22
YDL012C;I1	11	3
YDL029W;I1	12	0
YDL061C;I1	1	4
YDL064W;I1	7	1
YDL075W;I1	117	0
YDL079C;I1	6	4
YDL082W;I1	0	3
YDL083C;I1	5	1
YDL108W;I1	0	6
YDL115C;I1	14	12
YDL125C;I1	103	69
YDL130W;I1	370	2
YDL136W;I1	2	1
YDL137W;I1	26	4
YDL189W;I1	2	0
YDL191W;I1	6	1
YDL219W;I1	6	0
YDR005C;I1	20	0
YDR025W;I1	19	2
YDR059C;I1	14	1
YDR064W;I1	27	10
YDR092W;I1	25	5
YDR099W;I1	46	10
YDR129C;I1	31	0
YDR139C;I1	71	14
YDR305C;I1	5	9
YDR318W;I1	0	0
YDR367W;I1	7	0
YDR381C-A;I1	2	7
YDR381W;I1	70	51
YDR397C;I1	15	17
YDR424C;I1	0	0
YDR424C;I2	14	7
YDR447C;I1	3	1
YDR450W;I1	89	2
YDR471W;I1	6	1
YDR500C;I1	12	4
YDR535C;I1	0	3
YEL003W;I1	9	18
YEL012W;I1	18	0
YEL076C-A;I1	0	0
YER003C;I1	11	0
YER007C-A;I1	8	1
YER014C-A;I1	0	21
YER044C-A;I1	0	1
YER056C-A;I1	32	2
YER074W-A;I1	72	4
YER074W-A;I2	71	6
YER074W;I1	4	6
YER093C-A;I1	7	3
YER102W;I1	0	4
YER117W;I1	28	1
YER131W;I1	0	1
YER133W;I1	180	7
YER179W;I1	0	1
YFL031W;I1	0	651
YFL034C-A;I1	1	12
YFL034C-B;I1	2	1
YFL039C;I1	644	3
YFR024C-A;I1	11	1
YFR031C-A;I1	4	2
YFR032C-A;I1	22	6
YFR045W;I1	0	2
YGL030W;I1	44	7
YGL031C;I1	2	2
YGL033W;I1	0	0
YGL033W;I2	1	0
YGL076C;I1	5	1
YGL076C;I2	118	4
YGL087C;I1	10	3
YGL103W;I1	70	14
YGL137W;I1	5	1
YGL178W;I1	2	12
YGL183C;I1	0	1
YGL187C;I1	34	2
YGL189C;I1	5	2
YGL226C-A;I1	7	2
YGL232W;I1	2	1
YGL251C;I1	0	1
YGR001C;I1	3	0
YGR001C;I2	48	3
YGR027C;I1	15	1
YGR029W;I1	13	7
YGR034W;I1	8	3
YGR118W;I1	82	2
YGR148C;I1	9	1
YGR183C;I1	15	1
YGR214W;I1	30	0
YGR225W;I1	0	11
YGR296W;I1	0	0
YHL001W;I1	88	2
YHL050C;I1	0	3
YHR001W-A;I1	37	9
YHR010W;I1	21	1
YHR012W;I1	9	0
YHR016C;I1	30	3
YHR021C;I1	16	1
YHR039C-A;I1	1	9
YHR041C;I1	0	0
YHR076W;I1	12	9
YHR077C;I1	1	1
YHR079C-A;I1	0	1
YHR097C;I1	62	3
YHR101C;I1	10	0
