Gene	Exonic	Mature	Premature
SPAC1002.01	294	0	8
SPAC1006.08	1493	83	12
SPAC1071.08	11152	704	14
SPAC10F6.02c	2263	24	2
SPAC10F6.03c	13044	574	13
SPAC10F6.04	2371	168	0
SPAC10F6.09c	2043	37	1
SPAC110.04c	42472	486	6
SPAC110.05	201	2	6
SPAC1142.01	3654	6	20
SPAC1142.07c	2438	293	5
SPAC11D3.04c	3491	26	7
SPAC11D3.17	1701	16	120
SPAC11D3.18c	995	3	2
SPAC11E3.02c	2120	25	2
SPAC11E3.09	1780	130	82
SPAC11H11.01	663	18	4
SPAC11H11.05c	373	88	10
SPAC11H11.06	8095	673	4
SPAC1250.01	2353	38	1
SPAC1250.02	288	1	114
SPAC1250.05	3095	460	506
SPAC1296.02	4647	821	83
SPAC1296.05c	1342	100	9
SPAC12B10.06c	1531	260	28
SPAC12B10.14c	1666	44	2
SPAC12B10.16c	3142	85	18
SPAC12G12.07c	7183	280	9
SPAC12G12.17	660	118	25
SPAC1399.05c	944	28	5
SPAC13A11.01c	5227	199	3
SPAC13A11.03	750	145	35
SPAC13C5.06c	365	0	6
SPAC13D6.03c	1915	138	7
SPAC13F5.02c	2765	172	5
SPAC13F5.07c	201	11	55
SPAC13G6.09	2769	160	15
SPAC13G6.11c	3749	219	38
SPAC13G6.12c	1045	18	30
SPAC1420.01c	4771	94	27
SPAC1420.03	1012	2	0
SPAC144.01	1446	215	17
SPAC144.08	684	0	0
SPAC144.09c	4	0	0
SPAC144.14	111	0	0
SPAC144.15c	1043	7	33
SPAC1486.01	4999	481	21
SPAC1486.05	4435	26	26
SPAC1486.06	3215	135	4
SPAC1486.08	1663	274	30
SPAC1486.09	4850	232	22
SPAC1486.11	566	75	52
SPAC14C4.10c	442	11	8
SPAC14C4.11	8483	175	15
SPAC14C4.15c	1918	37	0
SPAC14C4.16	989	107	29
SPAC1556.02c	14490	400	12
SPAC1556.07	15176	1235	85
SPAC1565.02c	1651	50	4
SPAC1565.04c	705	64	19
SPAC1565.07c	1101	29	0
SPAC1565.08	30459	1014	2
SPAC15A10.12c	1293	149	44
SPAC15E1.03	64557	7769	84
SPAC15E1.06	2129	323	17
SPAC15F9.01c	48	2	6
SPAC16.03c	2402	98	13
SPAC16.04	3683	163	5
SPAC1635.01	12716	723	7
SPAC167.01	1646	47	2
SPAC1687.02	4350	649	3
SPAC1687.04	910	14	22
SPAC1687.05	23578	60	1
SPAC1687.10	2173	68	2
SPAC16A10.02	3165	209	91
SPAC16A10.08c	518	26	52
SPAC16E8.01	3190	26	6
SPAC16E8.03	157	47	6
SPAC16E8.04c	2602	139	5
SPAC16E8.05c	423	2	77
SPAC16E8.06c	5512	293	3
SPAC16E8.08	851	45	10
SPAC16E8.09	1351	27	0
SPAC16E8.10c	2342	317	13
SPAC16E8.16	1857	51	196
SPAC16E8.18c	1062	145	46
SPAC1782.02c	2369	318	8
SPAC1782.04	3275	321	39
SPAC1782.09c	1033	41	1
SPAC1782.11	14588	1417	63
SPAC1783.04c	2261	106	9
SPAC1786.03	1313	41	1
SPAC17A2.03c	5201	249	2
SPAC17A2.05	2779	101	24
SPAC17A2.07c	142	17	5
SPAC17A2.13c	9279	959	385
SPAC17A5.01	1803	45	4
SPAC17A5.04c	946	34	14
SPAC17A5.08	5121	546	8
SPAC17A5.19	125	17	1
SPAC17C9.02c	698	29	4
SPAC17C9.06	2718	107	8
