Gene	Exonic	Mature	Premature
SPAC1002.01	405	0	4
SPAC1006.08	2340	144	18
SPAC1071.08	22510	1316	16
SPAC10F6.02c	3626	31	2
SPAC10F6.03c	23305	990	14
SPAC10F6.04	3668	248	0
SPAC10F6.09c	3307	29	10
SPAC110.04c	71636	697	4
SPAC110.05	396	3	3
SPAC1142.01	5640	22	20
SPAC1142.07c	4116	396	12
SPAC11D3.04c	5804	20	17
SPAC11D3.17	2558	17	185
SPAC11D3.18c	1365	2	7
SPAC11E3.02c	3199	35	3
SPAC11E3.09	2674	147	122
SPAC11H11.01	1010	22	15
SPAC11H11.05c	667	141	18
SPAC11H11.06	13361	1182	7
SPAC1250.01	4320	68	0
SPAC1250.02	463	3	132
SPAC1250.05	5211	779	401
SPAC1296.02	7528	1288	44
SPAC1296.05c	2237	157	17
SPAC12B10.06c	2565	456	38
SPAC12B10.14c	2411	61	5
SPAC12B10.16c	4618	111	12
SPAC12G12.07c	12161	368	15
SPAC12G12.17	1170	202	53
SPAC1399.05c	1348	38	9
SPAC13A11.01c	7855	288	3
SPAC13A11.03	1082	197	45
SPAC13C5.06c	536	0	5
SPAC13D6.03c	2918	195	12
SPAC13F5.02c	4599	230	9
SPAC13F5.07c	327	24	41
SPAC13G6.09	4762	290	12
SPAC13G6.11c	5744	329	30
SPAC13G6.12c	1519	26	57
SPAC1420.01c	7820	167	35
SPAC1420.03	1721	2	0
SPAC144.01	2356	243	18
SPAC144.08	1044	0	0
SPAC144.09c	3	0	0
SPAC144.14	167	0	0
SPAC144.15c	1445	8	49
SPAC1486.01	8182	705	26
SPAC1486.05	8098	49	38
SPAC1486.06	5298	257	2
SPAC1486.08	2945	426	29
SPAC1486.09	7529	339	17
SPAC1486.11	859	88	83
SPAC14C4.10c	682	31	13
SPAC14C4.11	13917	237	17
SPAC14C4.15c	3030	40	4
SPAC14C4.16	1453	141	34
SPAC1556.02c	26535	792	19
SPAC1556.07	25336	2169	50
SPAC1565.02c	2565	62	6
SPAC1565.04c	1140	72	13
SPAC1565.07c	1706	16	5
SPAC1565.08	52807	1901	4
SPAC15A10.12c	2087	202	28
SPAC15E1.03	139692	4976	72
SPAC15E1.06	3334	487	19
SPAC15F9.01c	82	3	2
SPAC16.03c	3920	183	17
SPAC16.04	6452	275	8
SPAC1635.01	20907	1155	22
SPAC167.01	2302	64	12
SPAC1687.02	6786	943	2
SPAC1687.04	1266	28	27
SPAC1687.05	42941	89	0
SPAC1687.10	3110	77	12
SPAC16A10.02	4669	410	134
SPAC16A10.08c	900	41	71
SPAC16E8.01	5892	36	2
SPAC16E8.03	250	93	12
SPAC16E8.04c	4239	212	5
SPAC16E8.05c	668	2	104
SPAC16E8.06c	9813	445	4
SPAC16E8.08	1180	48	11
SPAC16E8.09	2267	38	4
SPAC16E8.10c	3741	471	19
SPAC16E8.16	2720	87	214
SPAC16E8.18c	1468	167	48
SPAC1782.02c	3983	372	14
SPAC1782.04	4793	388	45
SPAC1782.09c	1418	52	2
SPAC1782.11	25246	2193	61
SPAC1783.04c	3595	156	13
SPAC1786.03	1916	55	1
SPAC17A2.03c	7831	414	5
SPAC17A2.05	4368	138	7
SPAC17A2.07c	183	29	2
SPAC17A2.13c	15031	1520	137
SPAC17A5.01	2682	62	6
SPAC17A5.04c	1542	79	18
SPAC17A5.08	7855	872	21
